"Show the toolbar on the front end","Show the toolbar on the front end"
"Admin Template Mode","Admin Template Mode"
"Can't change","Can't change"
"Phone number","Phone number"
"Social Network","Social Network"
"About Yourself","About Yourself"
"Biographical Info","Biographical Info"
"Account Management","Account Management"
Username,Username
"Current Password","Current Password"
"New Password","New Password"
"Generate Password","Generate Password"
"Google Authenticator Secret","Google Authenticator Secret"
Permission,Permission
"Select Role and change its capabilities","Select Role and change its capabilities"
"-- Select --","-- Select --"
"List Backup Table","List Backup Table"
Total,Total
"List Backup DB","List Backup DB"
Name,Name
Size,Size
"Created at","Created at"
Detail,Detail
Restore,Restore
"Nothing To Display.","Nothing To Display."
"You do not have permission to view the setting","You do not have permission to view the setting"
"Update setting successful.","Update setting successful."
Fields,Fields
"Custom Fields","Custom Fields"
"Save changes","Save changes"
General,General
"Site Title","Site Title"
"In a few words, explain what this site is about","In a few words, explain what this site is about"
"Email Address","Email Address"
"This address is used for admin purposes, like new user notification","This address is used for admin purposes, like new user notification"
Timezone,Timezone
"Date Format","Date Format"
"Time Format","Time Format"
"Reading Settings","Reading Settings"
"Admin Template","Admin Template"
"Logo (login)","Logo (login)"
Slogan,Slogan
"Headline Right","Headline Right"
Security,Security
"Prefix Link Admin","Prefix Link Admin"
"Do not use the following words: {admin}, {backend}, {user} .... keep it secret only you and the site administrator know","Do not use the following words: {admin}, {backend}, {user} .... keep it secret only you and the site administrator know"
"Link Sign In","Link Sign In"
"Do not use the following words: {login}, {signin},.... keep it secret only you and the site administrator know","Do not use the following words: {login}, {signin},.... keep it secret only you and the site administrator know"
"Limit Sign In Count","Limit Sign In Count"
"Limit number of wrong logins","Limit number of wrong logins"
"Limit Sign In Time","Limit Sign In Time"
Seconds,Seconds
"Lock time when user log in too many times allowed","Lock time when user log in too many times allowed"
"Disable Iframe","Disable Iframe"
"Sign In on device","Sign In on device"
"Enable captcha checking in the login form into the admin area","Enable captcha checking in the login form into the admin area"
"Each user will have a unique secret code, for users who have previously been created without a private code can use this shared secret code.","Each user will have a unique secret code, for users who have previously been created without a private code can use this shared secret code."
"Accounts using google email will be mapped to google accounts to help you sign in faster and more securely (registration not included).","Accounts using google email will be mapped to google accounts to help you sign in faster and more securely (registration not included)."
"Static Info","Static Info"
Files,Files
"Update theme options success","Update theme options success"
"Theme option not found","Theme option not found"
"Seems like no theme options have been created yet.","Seems like no theme options have been created yet."
Ready,Ready
"The database is ready to be used.","The database is ready to be used."
Failed,Failed
"Check Database valid only on mysql database management system","Check Database valid only on mysql database management system"
"Domain Management","Domain Management"
"Clear Cache Success.","Clear Cache Success."
"The resource has been copied to the directory and ready to use.","The resource has been copied to the directory and ready to use."
"Minify HTML View success","Minify HTML View success"
"Refresh views success","Refresh views success"
"Refresh views fail","Refresh views fail"
Success!,Success!
"Render Model Success!","Render Model Success!"
Tools,Tools
"Render Model","Render Model"
"Creat Entity Realtionships","Creat Entity Realtionships"
Render,Render
"Check Database","Check Database"
"When you create a new post type but you do not have time to optimize the DB as well as check if the database is already on the floor","When you create a new post type but you do not have time to optimize the DB as well as check if the database is already on the floor"
Check,Check
"Backup Database","Backup Database"
Backup,Backup
"Deploy Asset","Deploy Asset"
"This tool will save you the time of copying all of the assets from the plugin, theme to the public source code","This tool will save you the time of copying all of the assets from the plugin, theme to the public source code"
"Copy Asset","Copy Asset"
"Minify HTML View","Minify HTML View"
Minify,Minify
"Refresh views","Refresh views"
Refresh,Refresh
"Clear Cache","Clear Cache"
"Clear all cache of framework","Clear all cache of framework"
"Validate HTML","Validate HTML"
Create,Create
"Validate HTML - Tool","Validate HTML - Tool"
"Add New User","Add New User"
"Create a brand new user and add them to this site","Create a brand new user and add them to this site"
"Can not change","Can not change"
Role,Role
"Add New","Add New"
Group,Group
Granted/Total,Granted/Total
"Quick filter","Quick filter"
"Granted Only","Granted Only"
Columns,Columns
"create role","create role"
"Role name","Role name"
"Delete Role","Delete Role"
"Create New Role","Create New Role"
"Create Role","Create Role"
"Update website success","Update website success"
Text,Text
Visual,Visual
"WYSIWYG Editor","WYSIWYG Editor"
"Add photo","Add photo"
"Select an image","Select an image"
Ratio,Ratio
Width,Width
"Max Width","Max Width"
"Min Width","Min Width"
Height,Height
"Max Height","Max Height"
"Min Height","Min Height"
"Custom Link","Custom Link"
"(Not Value)","(Not Value)"
"Input Link","Input Link"
"No data available, You can add ","No data available, You can add "
here,here
"press enter or "","" to add","press enter or "","" to add"
"Sign in to Backend","Sign in to Backend"
"The account has 2-layer security enabled, please enter the code on your google authenticator app previously saved.","The account has 2-layer security enabled, please enter the code on your google authenticator app previously saved."
"Code by Vn4CMS","Code by Vn4CMS"
"Checking login information","Checking login information"
"Please confirm you are not a robot before submit","Please confirm you are not a robot before submit"
"Showing ##from## to ##to## of ##count## Entries","Showing ##from## to ##to## of ##count## Entries"
«,«
»,»
"Move to Trash","Move to Trash"
"Delete forever","Delete forever"
Apply,Apply
"Go to page ##page## OR","Go to page ##page## OR"
"Quick Edit","Quick Edit"
Copy,Copy
Trash,Trash
Channels,Channels
Add-on,Add-on
"Collapse menu","Collapse menu"
Filters,Filters
From,From
To,To
"Groups By","Groups By"
Nothing,Nothing
View,View
"Show Data","Show Data"
"Create And Show Data","Create And Show Data"
"Create Data","Create Data"
Export,Export
Report,Report
"Show ##length## entries","Show ##length## entries"
Search,Search
"Enter something","Enter something"
"Edit history","Edit history"
data_table.message_alert_delete_one,data_table.message_alert_delete_one
"Are you sure you want to delete the selected post","Are you sure you want to delete the selected post"
"View Post","View Post"
"Back to List","Back to List"
"Edit Post","Edit Post"
"Layout Create And Show Data","Layout Create And Show Data"
Visibility,Visibility
"Public Key","Public Key"
"Password protected","Password protected"
Private,Private
"Published on","Published on"
immediately,immediately
"Save Draft","Save Draft"
Public,Public
Draft,Draft
Pending,Pending
Ok,Ok
Cancel,Cancel
Publish,Publish
"The page has expired due to inactivity. <br> Please refresh and try again.","The page has expired due to inactivity. <br> Please refresh and try again."
"Not Exits Method Post","Not Exits Method Post"
"Missing method","Missing method"
"Missing controller","Missing controller"
"Does not exist post type ","Does not exist post type "
"You are not allowed to remove","You are not allowed to remove"
"You are not allowed view","You are not allowed view"
"You are not allowed edit","You are not allowed edit"
"You are not allowed create","You are not allowed create"
"You are not allowed watch list","You are not allowed watch list"
"Warning duplicate submission","Warning duplicate submission"
"Edit Meta Success!","Edit Meta Success!"
"Edit Meta failed","Edit Meta failed"
"A simple website using Vn4CMS","A simple website using Vn4CMS"
"Can not save object","Can not save object"
Sucess,Sucess
"Update post success","Update post success"
"Create post success","Create post success"
"Post Type Not Found","Post Type Not Found"
"This records is already exists.","This records is already exists."
"This custom post does not exist in the view file ","This custom post does not exist in the view file "
"Page Static","Page Static"
Published,Published
Future,Future
Drafts,Drafts
Starred,Starred
"Text or HTML","Text or HTML"
